CVE_CLPV,CVE_DOC,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
      6568,F37888,E,2.0,2022-04-12 10:36:19.707,2022-04-12,2022-04-13 00:00:00,2022-04-12,,3015.0000000000005,0.0,0.0
      6979,F37898,E,2.0,2022-04-13 09:46:22.043,2022-04-13,2022-04-13 00:00:00,2022-04-13,,1265.09,0.0,0.0
      8132,F37901,E,2.0,2022-04-13 11:48:20.543,2022-04-13,2022-04-13 00:00:00,2022-04-13,,1188.7491,0.0,0.0
      7098,F37902,E,2.0,2022-04-13 13:00:25.943,2022-04-13,2022-04-13 00:00:00,2022-04-13,,378.00000000000006,0.0,0.0
      6573,F37904,E,2.0,2022-04-13 13:59:18.497,2022-04-13,2022-04-13 00:00:00,2022-04-13,,200.00000000000003,0.0,0.0
      6573,F37905,E,2.0,2022-04-13 14:03:21.653,2022-04-13,2022-04-13 00:00:00,2022-04-13,,2495.6896,0.0,0.0
      2370,F37907,E,6.0,2022-04-13 15:38:42.743,2022-04-13,2022-04-13 00:00:00,2022-04-13,,3701.36,0.0,0.0
      4503,F37911,E,2.0,2022-04-13 17:20:20.033,2022-04-13,2022-04-13 00:00:00,2022-04-13,,240.00000000000003,0.0,0.0
      5926,F37913,E,2.0,2022-04-13 17:32:46.633,2022-04-13,2022-04-13 00:00:00,2022-04-13,,206.10000000000002,0.0,0.0
      4889,F37922,E,6.0,2022-04-19 11:16:51.107,2022-04-19,2022-04-13 00:00:00,2022-04-19,,4717.35,0.0,0.0
      4649,F37926,E,2.0,2022-04-19 14:03:18.947,2022-04-19,2022-04-13 00:00:00,2022-04-19,,2077.5,0.0,0.0
      2730,F37939,E,2.0,2022-04-21 10:26:18.843,2022-04-21,2022-04-13 00:00:00,2022-04-21,,1035.0,0.0,0.0
      6119,F37943,E,2.0,2022-04-21 12:49:43.633,2022-04-21,2022-04-13 00:00:00,2022-04-21,,3318.0006000000003,0.0,0.0
8440Q,F37953,E,2.0,2022-04-22 11:11:49.590,2022-04-22,2022-04-13 00:00:00,2022-04-22,,2289.9700000000003,0.0,0.0
      6152,F37956,E,3.0,2022-04-22 15:10:48.470,2022-04-22,2022-04-13 00:00:00,2022-04-30,,4155.0,0.0,0.0
      5068,F37971,E,2.0,2022-04-25 14:40:45.877,2022-04-25,2022-04-13 00:00:00,2022-06-09,,2790.7,0.0,0.0
      5926,F38295,E,2.0,2022-06-02 11:07:38.387,2022-06-02,2022-04-13 00:00:00,2022-06-02,,1140.8600000000001,0.0,0.0
